x,y,z,intensity,gps_time,label,global_id
746002.10650024,2573795.67663452,467.25894165,16191,5321.154,9,103010001
746002.14598999,2573795.67492554,467.52923584,16191,5321.154,9,103010001
746002.07320557,2573795.69183228,467.80072021,16191,5321.154,9,103010001
746009.38271484,2573793.0592334,463.97683716,11822,5321.2485,9,103010001
746008.95348511,2573792.88253662,465.16104126,11822,5321.249,9,103010001
746009.30950317,2573794.59423706,465.88143921,10794,5321.3486,9,103010001
746009.25280151,2573794.48342773,466.14953613,10794,5321.3486,9,103010001
746009.24788818,2573794.35754272,466.43551636,10794,5321.3486,9,103010001
746009.2401062,2573794.23812744,466.70791626,10794,5321.3486,9,103010001
746002.1369873,2573795.08712647,466.80453491,8481,5321.349,9,103010001
746009.2505127,2573794.49471924,466.55422974,11051,5321.4497,9,103010001
746009.22548828,2573794.31973145,466.78143311,11051,5321.45,9,103010001
746002.01470337,2573795.18331787,466.53082275,8481,5321.45,9,103010001
746001.98119507,2573795.02401611,466.73751831,8481,5321.45,9,103010001
746009.30809937,2573794.69973633,466.5161438,14135,5322.1616,9,103010001
746009.29290161,2573794.58553955,466.25231934,14135,5322.1616,9,103010001
746009.26870117,2573794.4790332,466.00091553,14135,5322.1616,9,103010001
746009.26140747,2573794.37011597,465.75091553,14135,5322.1616,9,103010001
746009.43990479,2573793.86584351,464.6854248,14135,5322.162,9,103010001
746009.50231323,2573793.51571533,463.91082764,14135,5322.162,9,103010001
746002.09859619,2573795.17571899,467.75561523,15677,5322.462,9,103010001
746002.07140503,2573795.2434375,467.48522949,15420,5322.462,9,103010001
746002.06661377,2573795.30721924,467.21774292,15420,5322.462,9,103010001
746002.08071289,2573795.36492798,466.96582031,15420,5322.462,9,103010001
746002.11550293,2573795.41934082,466.71612549,15420,5322.462,9,103010001
746009.28280029,2573794.44161865,466.58563232,16191,5322.4624,9,103010001
746009.29519043,2573794.5085437,466.29602051,16191,5322.4624,9,103010001
746005.12279663,2573795.24761841,465.65362549,16191,5322.4624,9,103010001
746002.07070312,2573795.24493286,466.69122314,15934,5322.564,9,103010001
746002.1138855,2573795.34841797,466.43203735,15934,5322.564,9,103010001
746002.08919678,2573795.4526355,466.19122314,15934,5322.564,9,103010001
746009.25701294,2573794.38543579,466.61071777,16191,5322.564,9,103010001
746009.29311523,2573794.50012085,466.32623291,16191,5322.5645,9,103010001
746009.2986084,2573794.61971924,466.03921509,16191,5322.5645,9,103010001
746009.33840332,2573794.73351929,465.75521851,16191,5322.5645,9,103010001
746002.03539429,2573795.17733643,467.74822998,15163,5322.672,9,103010001
746002.0848938,2573795.32522461,467.53121948,15163,5322.672,9,103010001
746002.12709961,2573795.466521,467.32443237,15163,5322.672,9,103010001
746002.1552063,2573795.61752197,467.1050415,15163,5322.672,9,103010001
746002.17211304,2573795.76281616,466.89562988,15163,5322.672,9,103010001
746008.96331177,2573792.89453003,465.00262451,16191,5322.6724,9,103010001
746009.50060425,2573793.46691772,464.09051514,16191,5322.6724,9,103010001
746009.20418701,2573793.68633911,463.83273315,16191,5322.673,9,103010001
746002.07109985,2573795.21401855,462.9786377,15163,5322.673,9,103010001
746005.03670654,2573794.74062988,462.93713379,15677,5323.5576,9,103010001
746002.07250366,2573795.28582642,463.04022217,13621,5323.5576,9,103010001
746002.1007019,2573795.33932373,463.309021,13621,5323.5576,9,103010001
746002.11849365,2573795.39193604,463.56463623,13621,5323.5576,9,103010001
746002.09868774,2573795.44583008,463.79281616,13621,5323.5576,9,103010001
746002.10698853,2573795.50042603,464.04782104,25700,5323.558,9,103010001
746002.1144043,2573795.5554187,464.30303955,13621,5323.558,9,103010001
746009.31798706,2573794.58181641,465.65411377,16191,5323.558,9,103010001
746009.30721436,2573794.64584229,465.93243408,771,5323.558,9,103010001
746009.32280884,2573794.70544312,466.21304321,771,5323.558,9,103010001
746009.31868896,2573794.76562378,466.4781189,771,5323.558,9,103010001
746005.13570557,2573795.47942993,466.36062622,15677,5323.558,9,103010001
746002.21828613,2573795.99093506,466.3392334,13878,5323.558,9,103010001
746002.09639893,2573795.64913818,464.36181641,10023,5323.7573,9,103010001
746009.23339233,2573794.24093506,466.02981567,23130,5323.758,9,103010001
746009.18880615,2573794.18112061,466.3109436,11565,5323.758,9,103010001
746002.05858765,2573795.28622314,465.93121338,10023,5323.758,9,103010001
746002.03069458,2573795.23293945,466.17611694,10023,5323.758,9,103010001
746002.01769409,2573795.1769397,466.42251587,10023,5323.758,9,103010001
746002.00979004,2573795.11651489,466.68252563,10023,5323.758,9,103010001
746001.98330078,2573795.0592334,466.94073486,10023,5323.7583,9,103010001
746004.99880371,2573794.4894397,467.534729,10537,5323.7583,9,103010001
746004.97869263,2573794.42812988,467.80444336,10537,5323.7583,9,103010001
746002.16500244,2573795.57021973,463.57122803,8738,5323.8564,9,103010001
746002.13170776,2573795.45321533,463.80252075,8738,5323.8564,9,103010001
746009.3019043,2573793.90252563,465.0090332,9509,5323.8564,9,103010001
746002.14098511,2573795.61633179,464.05831909,12593,5323.956,9,103010001
746002.12648926,2573795.46362183,464.26522827,12593,5323.956,9,103010001
746002.07570801,2573795.3165271,464.46954346,12593,5323.956,9,103010001
746002.14690552,2573795.63262817,467.75064087,16191,5324.863,9,103010001
